"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SECTOR","GFS_GRP","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:GFS_COFOG(11.0.0)","NLD.S13.G2MF.GF07_T.POTO_PT.A","OBS_VALUE","Netherlands, The","General government","Expenditure by function","Health, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","8.672485537399777","9.385296635482937","10.14317187156693","10.23283929355543","10.38864999589165","10.95501795303945","11.07968780111775","11.79188796358085","12.06865693793898","12.29495059755089","12.59900282773828","15.3261028236863","15.74419282434831","15.07869044866893","15.48566080620362","16.11036186081277","16.72175113132506","17.28952785449997","17.15221446653325","17.27949848932836","17.2105511434498","16.60678539435941","17.16220053408543","17.37449731698671","17.4687697971314","17.42963244846274","18.43665040780425","17.2905346240119",""
"IMF.STA:GFS_COFOG(11.0.0)","NLD.S13.G2MF.GF01_T.POTO_PT.A","OBS_VALUE","Netherlands, The","General government","Expenditure by function","General public services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","16.66666666666667","18.08512603851673","17.71863253344735","17.49573726740307","17.07430637342171","16.42938645618516","15.60368086336481","14.5251524320569","13.72833190007028","13.71356542305043","13.83416573190653","13.22678260732336","12.78657375690294","13.03078263653015","11.45965639414399","11.73260972003315","11.25582791460984","11.05646464120069","10.91504556961207","11.1744462217052","10.93724757836783","9.876044149367932","9.496447406622787","9.564117294740316","9.444527160569515","8.703399950135814","8.503168479130018","8.401885638202166",""
"IMF.STA:GFS_COFOG(11.0.0)","NLD.S13.G2MF.GF08_T.POTO_PT.A","OBS_VALUE","Netherlands, The","General government","Expenditure by function","Recreation, culture and religion, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","2.272855419105292","2.542941781475756","2.676381688727368","2.758372919244741","2.900495741009559","3.054110356234363","3.33542108306032","3.385499986287971","3.303634958813695","3.292052724823377","3.304999083010965","3.23636980545484","3.101450043338544","3.28383689292764","3.263587138177686","3.15356742440245","3.077008407857774","2.964914794934598","2.888069135195776","2.727933692016868","2.871063838036588","2.93154131484398","2.950550835425753","3.019459485888206","2.898081083211449","2.714711246998307","2.695206300975532","2.83973274796982",""
"IMF.STA:GFS_COFOG(11.0.0)","NLD.S13.G2MF.GF02_T.POTO_PT.A","OBS_VALUE","Netherlands, The","General government","Expenditure by function","Defence, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","3.439448786043732","3.815336482499954","3.628287578904863","3.499717718710972","3.731478184656679","3.458184597024925","3.447195991520524","3.265748265428318","3.164819430681724","3.146076176367393","2.861858800748945","2.929027116383851","2.982221734374468","2.875891380506109","2.850792165251688","2.640755244300733","2.645359364957145","2.43466308822763","2.425745295127495","2.355032071478196","2.490452404184787","2.591980544784832","2.721793812393717","2.772854506117759","2.919392649553187","2.812864959911819","2.755927154965617","3.023978312761644",""
"IMF.STA:GFS_COFOG(11.0.0)","NLD.S13.G2MF.GF03_T.POTO_PT.A","OBS_VALUE","Netherlands, The","General government","Expenditure by function","Public order and safety, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","2.618491829899523","3.020859636265097","3.062963556790717","3.172955741715472","3.280655145024787","3.513142881070273","3.649065330506841","3.81971424131343","3.918701245411012","4.011972675962384","4.050532493399811","4.073178333721293","4.253611860756475","4.218875037789199","4.198475833946119","4.039452090408332","4.031660788452817","4.087302621293449","4.192598292311522","4.054739631299178","4.20998894999063","4.314362127008664","4.227378738039709","4.340797692241875","4.382592245509244","4.212473919718661","4.228720214297137","4.319454940204158",""
"IMF.STA:GFS_COFOG(11.0.0)","NLD.S13.G2MF.GF09_T.POTO_PT.A","OBS_VALUE","Netherlands, The","General government","Expenditure by function","Education, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","9.531783889847424","10.7174310683558","10.7310613483453","10.73752402242283","11.0410561200734","10.98589927455065","10.71593756022355","11.01990072490927","11.39640563818038","11.73096998600878","12.14136132353506","11.98597033886603","12.04811524646195","12.05626589369232","11.78287318671034","11.7075865654908","11.68519310014062","11.73817030590442","11.56391546263098","11.79778003974601","11.81866353044568","12.08771663168652","12.07466986564912","11.95988314529831","11.83492586202366","10.94413898985657","11.0441987845834","11.61754651120947",""
"IMF.STA:GFS_COFOG(11.0.0)","NLD.S13.G2MF.GF05_T.POTO_PT.A","OBS_VALUE","Netherlands, The","General government","Expenditure by function","Environmental protection, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","3.0340449045412","3.410707577091968","3.426979970189847","3.372548572340996","3.395688970447262","3.547164675955489","3.41539795721719","3.596208166884536","3.652856413233747","3.703992480258513","3.705915219032427","3.637217266425474","3.660498336481213","3.626340405100208","3.634601243398623","3.387875144208115","3.369342151197883","3.288667986867476","3.277649713714853","3.088879194739308","3.011289103139883","3.177965416544047","3.181860238073209","3.254146752881642","3.242277476593769","3.106801212487042","3.078772189349112","3.177036477263186",""
"IMF.STA:GFS_COFOG(11.0.0)","NLD.S13.G2MF.GF06_T.POTO_PT.A","OBS_VALUE","Netherlands, The","General government","Expenditure by function","Housing and community amenities, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","10.13566088162658","0.8351244988329197","1.087892445917137","1.373768939933963","1.248938676015447","1.354067436431585","1.639525920215841","1.697549203331109","1.907622194769536","1.23971774979533","0.9924806899169592","1.047490166217554","1.084788360289025","1.25193391780627","1.541546894845912","1.361974554376615","1.107670824374631","1.181340872374798","1.195899219868933","1.10448677556428","1.063644176774302","0.9572379803572179","0.8780185877045493","1.056092701470462","1.061199228112583","0.98809820620153","1.016012314089237","1.0997157148512",""
"IMF.STA:GFS_COFOG(11.0.0)","NLD.S13.G2MF.GF10_T.POTO_PT.A","OBS_VALUE","Netherlands, The","General government","Expenditure by function","Social protection, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","34.7936894572437","38.03326948777799","36.54653531196741","35.92100686029072","35.32305332639479","34.99063092110084","34.54133744459433","34.7590796486064","35.09413700830711","35.60441654862925","35.50069733817276","33.96945510784612","33.88241439218165","34.00067575978518","34.29674443478842","34.86505370228946","35.62458605085172","36.12421178800354","36.7056031709596","36.98544261871294","37.56324676415661","38.50942523680321","38.40501797832392","37.66791751720429","37.62775992082607","36.0035167373076","35.55393411162642","35.72924538486451",""
"IMF.STA:GFS_COFOG(11.0.0)","NLD.S13.G2MF.GF1060_T.POTO_PT.A","OBS_VALUE","Netherlands, The","General government","Expenditure by function","Housing, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","0.6912728215884615","0.7901657315653657","0.8307650282958925","0.8679436806058498","0.8627536906685656","0.8217571995352099","0.766525342069763","0.8144945289003867","0.7185231424692576","0.730749071944347","0.7306056819199618","0.8084020152842821","0.8255141011131761","0.7760567638219551","0.7236446286516478","0.7308710982565036","0.7592194428040548","0.7667153056438585","0.8069652481191826","0.9177128269755869","1.010655827749094","1.083360552093473","1.099437519342252","1.072594149930938","1.042223175890488","1.003844791160917","1.003268431153047","0.9538546427243394",""
"IMF.STA:GFS_COFOG(11.0.0)","NLD.S13.G2MF.GF0830_T.POTO_PT.A","OBS_VALUE","Netherlands, The","General government","Expenditure by function","Broadcasting and publishing services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","0.3828501189710974","0.4120193876985422","0.4257744998485739","0.4134422920100139","0.3944016871627729","0.4354789745307609","0.6865484679128927","0.6293821359684806","0.5404202007150309","0.5713444136897414","0.5246030290493596","0.5061882799461854","0.4364134610653333","0.4669855778635321","0.4117922321010763","0.4156443462294656","0.4267550628223909","0.4234196675178488","0.4235274339087056","0.3809800785226116","0.3990281161349523","0.4174980515679623","0.4220997789001158","0.3859505445477992","0.3549981461856675","0.3456375398585432","0.3145989924836079","0.343781112430578",""
"IMF.STA:GFS_COFOG(11.0.0)","NLD.S13.G2MF.GF0980_T.POTO_PT.A","OBS_VALUE","Netherlands, The","General government","Expenditure by function","Education n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","0.03044757941743631","0.03818415850121019","0.03978645953954596","0.04048883135546343","0.03889238859521788","0.03140473374019911","0.05106957024474851","0.05621931933487517","0.04889100361880732","0.05024712053677786","0.05587235512639521","0.07259442206554803","0.03217271829189361","0.04481354364874718","0.07219733939434454","0.06694506280161838","0.06264294500145188","0.03843347751315858","0.02618757415771386","0.02617420386796568","0.02584797513424792","0.009701736287404236","0.01020951846168081","0.008556306609135691","0.004671028239285099","0.004461532405159631","0.005247481209019671","0.005757673899744503",""
"IMF.STA:GFS_COFOG(11.0.0)","NLD.S13.G2MF.GF0560_T.POTO_PT.A","OBS_VALUE","Netherlands, The","General government","Expenditure by function","Environmental protection n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","0.06766128759430292","0.07575244347820732","0.07600995255316243","0.07413447994662317","0.07230697597984169","0.07013723868644467","0.06889574099055695","0.09095645973691187","0.07901135406253683","0.0775365049662348","0.06013742040321927","0.05918023537952285","0.0639669340156473","0.0583287393523376","0.07988501905207567","0.05687080577807387","0.06199041432435342","0.05504455677732034","0.04267604677553369","0.03813032168419692","0.03909506239054998","0.05206598474240273","0.0507285448564765","0.04828201586583711","0.0484619179825829","0.05248861653128978","0.05722253318407165","0.05517770820588482",""
