"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SECTOR","GFS_GRP","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0560_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Environmental protection n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF073_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Hospital services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.03180684684079669","0.02760062192657564","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0310_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Police services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0712_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Other medical products, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0530_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Pollution abatement, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0160_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","General public services n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0460_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Communication, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0170_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Public debt transactions, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.539827266897276","5.145560572963386","3.609975531274437","4.425976853555035","4.572031521914963","4.695715429762966","4.658265500173765","4.670861333608475","4.311852011052887","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF1070_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Social exclusion n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF1030_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Survivors, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF092_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Secondary education, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.740004744426374","6.138225580902348","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0360_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Public order and safety n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF091_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Pre-primary and primary education, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.129222088043148","5.388125394121237","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0640_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Street lighting, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0840_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Religious and other community services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0860_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Recreation, culture and religion n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF048_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","R&D Economic affairs, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0540_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Protection of biodiversity and landscape, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0340_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Prisons, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0520_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Waste water management, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF011_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Executive and legislative organs, financial and fiscal affairs, external affairs, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF043_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Fuel and energy, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8193497150032877","0.8753085874926772","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0830_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Broadcasting and publishing services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0610_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Housing development, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0550_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","R&D Environmental protection, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF1060_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Housing, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","KOR.S13.G2MF.GF0960_T.POTO_PT.A","OBS_VALUE","Korea, Republic of","General government","Expenditure by function","Subsidiary services to education, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
