"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SECTOR","GFS_GRP","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:GFS_COFOG(11.0.0)","RUS.S13.G2MF.GF10_T.POTO_PT.A","OBS_VALUE","Russian Federation","General government","Expenditure by function","Social protection, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.99859050586912","25.26841604680328","23.28891045866801","27.39777692653","28.79090723386147","27.53334973438427","25.99882766705744","","21.00676553609033","24.85382955771305","31.56097885561317","28.49465337273326","29.63716501030738","30.69249075687391","27.30411593842909","31.35385962689004","33.4151445222055","35.9297416869624","33.63866740056591","31.55450695385826","34.129162014187","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","RUS.S13.G2MF.GF09_T.POTO_PT.A","OBS_VALUE","Russian Federation","General government","Expenditure by function","Education, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.364311905095362","8.071194634827639","8.724930560999623","9.495077290418493","10.16458631201599","11.22151532714925","12.15005861664713","","9.313813342891707","10.02642934196332","9.771665190842039","9.631157124938881","9.504322943909418","10.00205402801978","9.165413592325201","2.195997283833846","9.594144875167575","9.501248682769978","10.04987204455464","9.285696663103037","8.935046981849569","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","RUS.S13.G2MF.GF02_T.POTO_PT.A","OBS_VALUE","Russian Federation","General government","Expenditure by function","Defence, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.162075050003296","8.241336516760817","6.732149269232355","7.5347723229378","7.723671334789858","8.475841866789646","8.010550996483001","","5.108875845692011","7.709277238403452","8.264788530539333","7.489104785390846","7.304390634134334","5.858583712266089","6.011979296366775","5.348716368015104","6.124464947752564","5.58624486485232","5.195992618365099","4.934758437694196","4.708493372077929","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","RUS.S13.G2MF.GF01_T.POTO_PT.A","OBS_VALUE","Russian Federation","General government","Expenditure by function","General public services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.43721431215867","25.19801865501179","31.36786553388301","23.34907683802999","19.33799801965647","11.00659318168315","14.62719812426729","","31.23571844616694","24.55879180151025","18.62098264327869","22.88951720912434","23.83965108765884","22.55960222684969","25.20770471762713","38.60408301070398","20.7752602520135","18.17375739833221","16.48765248187555","21.83778536016779","23.99133023174266","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","RUS.S13.G2MF.GF08_T.POTO_PT.A","OBS_VALUE","Russian Federation","General government","Expenditure by function","Recreation, culture and religion, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.797699945890718","1.64218995889624","1.683197524184296","1.979209376279167","2.843475808629224","2.64604771144003","2.211019929660023","","1.593933419956091","1.766990291262136","1.724923350957921","2.207104742872935","2.166856404418326","2.909991075602397","2.223648813651353","0.9236714272458652","2.279000386933405","2.565434915829001","2.609295159350959","2.584918414793492","2.336730697149845","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","RUS.S13.G2MF.GF06_T.POTO_PT.A","OBS_VALUE","Russian Federation","General government","Expenditure by function","Housing and community amenities, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.325846330419286","6.237743576460776","4.740030165886744","5.008494708203602","5.041838335242489","6.884083741633155","7.404454865181712","","4.612661857610108","4.070118662351672","3.529694785817752","3.971598035672527","3.098366204116796","3.215262136472455","2.729182014319351","2.026858035549172","2.768721759983995","2.812153189113046","3.126556660332016","3.195756745585548","3.095698439520387","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","RUS.S13.G2MF.GF05_T.POTO_PT.A","OBS_VALUE","Russian Federation","General government","Expenditure by function","Environmental protection, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0.4066477736477632","0.3768646292377443","0.3302936002612842","0.3171601546306545","0.2731535756154748","","0.1422554773959407","0.145091693635383","0.1351275266032318","0.1322307021832947","0.1430725208455124","0.1646763843440568","0.2011862211674963","0.1223964039202283","0.2764401224956609","0.3760796137152018","0.430722548493178","0.5868112280850155","0.6048562615586139","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","RUS.S13.G2MF.GF07_T.POTO_PT.A","OBS_VALUE","Russian Federation","General government","Expenditure by function","Health, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.673750288199222","5.062166540624642","5.115768692884914","4.724150464749762","4.982944633674439","12.34432684530253","12.71629542790152","","9.601124602356736","10.59061488673139","10.64026902662115","9.404536661068475","8.378588351127658","8.095349397249019","7.796042635563799","6.890781636651895","9.582965220557754","8.250158475562254","9.248895083267827","8.860689974959959","5.327375911553528","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","RUS.S13.G2MF.GF03_T.POTO_PT.A","OBS_VALUE","Russian Federation","General government","Expenditure by function","Public order and safety, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.568235627782756","4.928203571434936","5.394015995481739","6.935301685666669","7.812266884154253","9.220733776181134","8.371629542790152","","5.583807518257986","6.364077669902913","6.472301416279796","5.904462254724803","6.885941971016276","7.061606674882779","6.431506825195694","5.905036834481419","5.984969417622453","6.355301430704758","6.420642094508043","5.751839257451721","5.609877286926733","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","RUS.S13.G2MF.GF0350_T.POTO_PT.A","OBS_VALUE","Russian Federation","General government","Expenditure by function","R&D Public order and safety, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.005845426979195236","0.0329448312791556","0.03899599413210195","0.04087912345329228","0.04408445227719172","0.04134312880144469","0.04848506645342528","","","",""
