"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SECTOR","GFS_GRP","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:GFS_COFOG(11.0.0)","ESP.S13.G2MF.GF06_T.POTO_PT.A","OBS_VALUE","Spain","General government","Expenditure by function","Housing and community amenities, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","2.368189894392206","2.305040826488632","2.401472325643789","2.655198204936425","2.723188621798284","3.007221327493396","2.649445023263511","2.709878251390361","2.775160599571734","2.074103784191112","2.248101697807354","2.043018677223053","2.359791160407093","2.596420301618229","2.846963369428076","1.527931401688593","1.234202313922258","1.144150636878004","0.9940310932411035","1.106959800794996","1.17311527039633","1.05184765485833","1.046845599798504","1.019740825965847","0.9852359243746095","0.8850176653723721","0.9474430662280141","1.013228571929662","1.155211011067594","1.054559746220681"
"IMF.STA:GFS_COFOG(11.0.0)","ESP.S13.G2MF.GF08_T.POTO_PT.A","OBS_VALUE","Spain","General government","Expenditure by function","Recreation, culture and religion, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","2.990058094268431","3.033584560867484","3.16211114928949","3.176532393061937","3.404943896778589","3.450811450219997","3.403957617906698","3.423906331830294","3.557898204579147","3.53806980121906","3.619429513977761","3.897843801983534","4.05095878545822","3.984200318028313","3.58957787469821","3.632184192151071","3.30894610304761","2.474447236080861","2.491621645976459","2.541513706198671","2.644911722166594","2.629941065626194","2.693521452291906","2.716079286262161","2.762671726872315","2.322559205233148","2.408880223599885","2.712678351347171","2.7675715445732","2.674789102087223"
"IMF.STA:GFS_COFOG(11.0.0)","ESP.S13.G2MF.GF07_T.POTO_PT.A","OBS_VALUE","Spain","General government","Expenditure by function","Health, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","11.94975145235671","12.4215014672397","12.3876810400418","12.53383552373829","12.893733898269","13.22258233392345","13.20208976668786","13.30520134997137","13.53714379838577","14.1042703566632","14.75357620225806","14.74068770925017","14.54226114573058","14.6806115520799","14.77963408534715","14.38702514763344","14.08875074290282","12.62806244948178","13.30924601250424","13.50538717541807","13.96698246424812","14.25778315756038","14.39613771967143","14.29978604012757","14.37009696156249","14.71245671109245","14.45909387574795","14.62349510445581","14.48582268221304","14.18020016001572"
"IMF.STA:GFS_COFOG(11.0.0)","ESP.S13.G2MF.GF05_T.POTO_PT.A","OBS_VALUE","Spain","General government","Expenditure by function","Environmental protection, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","1.766285360643629","1.832236730786895","1.940193831106174","2.017220500765751","2.209636553324675","1.832306948379697","2.248868795299906","2.407964369264117","2.481304562675012","2.279812583179887","2.293604072462532","2.469152049862079","2.459398984673869","2.278170828532315","2.215288226225736","2.240815006601537","2.043474569426986","1.829207595551609","1.817062233684201","1.933000601349019","1.934581118899073","1.995741959299655","2.020670226703664","1.9884138710589","1.996312837957713","1.801867981949837","1.815337450821809","2.030761970207413","2.068911888429795","2.059851494181885"
"IMF.STA:GFS_COFOG(11.0.0)","ESP.S13.G2MF.GF02_T.POTO_PT.A","OBS_VALUE","Spain","General government","Expenditure by function","Defence, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","3.027989059910962","2.979439306553993","2.99548606044631","2.881361968871318","2.777269146421956","2.819394879131682","2.777328513881001","2.821477936672251","2.716521166199967","2.775093738795403","2.806927736541251","2.670242782843065","2.574405119938407","2.457974040220187","2.225579447196774","2.301372007423382","2.287001737408962","1.908842231840317","2.097055882870396","1.92062627135386","2.202666735132267","2.317885058655369","2.177294922185041","2.056840660449719","2.011161764592445","1.826354636722986","1.928598830518129","2.423457795960797","2.065921050860688","1.974930870401303"
"IMF.STA:GFS_COFOG(11.0.0)","ESP.S13.G2MF.GF03_T.POTO_PT.A","OBS_VALUE","Spain","General government","Expenditure by function","Public order and safety, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","4.516779461380288","4.350957935905555","4.475342781697599","4.468960359012715","4.552132348244512","4.392741107216932","4.826473387069475","4.709576687350508","4.741228792620656","4.66992397586188","4.644939282768819","4.729843549304079","4.825686307533142","4.802935237669768","4.515581937672249","4.768348874237116","4.762861278559048","4.181415664929304","4.474319969447436","4.484500608947292","4.650739856393403","4.545630142807474","4.492800555382704","4.341568769932582","4.367320019438595","4.095917724839962","4.06960426606792","4.107442088127767","4.09311075520144","4.012183653130834"
"IMF.STA:GFS_COFOG(11.0.0)","ESP.S13.G2MF.GF10_T.POTO_PT.A","OBS_VALUE","Spain","General government","Expenditure by function","Social protection, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","32.92058453614422","33.34429130146821","33.56836570912155","32.88634825658012","32.94653693018502","32.86842957107633","32.87282739113918","33.0964784526896","33.58952396639763","33.36797262887945","33.54321303643034","33.50634857130825","33.23027692899935","33.86979416623725","35.55534515726015","37.0184534071552","37.43691797317474","36.58196195853424","39.76939680142121","40.23176902987424","39.61676380223711","40.61664327319709","41.02720401636516","41.0645512898147","41.79085768942988","43.27421555252387","41.29290688154221","40.19256923197115","41.46646747688456","41.75750600058953"
"IMF.STA:GFS_COFOG(11.0.0)","ESP.S13.G2MF.GF09_T.POTO_PT.A","OBS_VALUE","Spain","General government","Expenditure by function","Education, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","9.859555608791999","10.06569946483217","10.1405958023657","10.09233536346476","10.5078033512892","10.52187778492673","10.49246427725141","10.56803540123935","10.59397133915335","10.6275789563241","10.40525552427267","10.43566149375671","10.38255178885066","10.35980546752152","10.17842918919586","9.939587182513445","9.700705938873853","8.562117007171099","8.977604799155513","9.181318669390467","9.415303773310397","9.660429838906988","9.761951628367696","9.575713535989665","9.576207776980693","9.032602231783678","9.206057657017306","9.269407193524266","9.253651438817184","9.147565374843844"
"IMF.STA:GFS_COFOG(11.0.0)","ESP.S13.G2MF.GF01_T.POTO_PT.A","OBS_VALUE","Spain","General government","Expenditure by function","General public services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","17.88095665888084","18.74247646856916","18.35700131323163","17.64032838266197","16.32891178912854","15.57161183066846","15.56793434311141","14.72944423006887","14.22302750782408","12.92592660115586","12.89963882490117","12.79005495778147","12.27558164713808","12.04261314000986","11.93061247172487","11.8193259223099","13.16931143521577","13.14966931717281","15.59510987336992","15.40386990888585","14.47426977158164","14.06870383009044","13.09742267713936","13.04731339065843","12.47367690278388","11.01339769825445","11.24144104346613","11.81340012723153","12.00851192372168","12.37258397316228"
"IMF.STA:GFS_COFOG(11.0.0)","ESP.S13.G2MF.GF013_T.POTO_PT.A","OBS_VALUE","Spain","General government","Expenditure by function","General services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","1.916511948254177","1.938110040560597","1.983968218853111","2.115610642162624","2.114250431153789","1.525790169883028","2.246988155732001","2.421958060208555","2.389062757371109","2.169513773677782","2.334556209652191","2.566275715398707","2.535187546615981","2.476109173502359","2.471333803985172","2.480571295569658","2.325311708562589","2.014358124922854","2.257757218686841","2.331150096280971","2.36356089587238","2.360379618064051","2.398686045797908","2.364660288240281","2.371778554293075","2.250673383006262","2.268050824798596","2.319504211555111","2.359322216390089","2.320789410889491"
