"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SECTOR","GFS_GRP","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:GFS_COFOG(11.0.0)","DEU.S13.G2MF.GF0740_T.POTO_PT.A","OBS_VALUE","Germany","General government","Expenditure by function","Public health services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09380385896751198","0.09539683936971107","0.0914839632346489","0.09685363776555343","0.09097430788902435","0.08879339237588897","0.0836738558806605","0.07720053154464342","0.06619129545324076","0.1000014962817399","0.1236518841396168","0.1058090283928945","0.118269643674995","0.127692670827642","0.1355995604703902","0.1388139178641768","0.1381953038825032","0.1390167649766788","0.1414264615047096","0.1459983765527477","0.7463677563681309","1.532445293775045","1.621437625452092","0.402189031316078",""
"IMF.STA:GFS_COFOG(11.0.0)","DEU.S13.G2MF.GF03_T.POTO_PT.A","OBS_VALUE","Germany","General government","Expenditure by function","Public order and safety, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","3.188909975583133","3.262861939054667","3.338985434301141","3.348352564343565","2.831036262496894","3.196684841692586","3.2567097857007","3.294316027865987","3.311741075913046","3.235792970285989","3.307600745568879","3.319841004605937","3.276359702626188","3.315590710398763","3.316759178913635","3.323736788817749","3.327216351325698","3.278426160609134","3.27053937631652","3.183280100958501","3.291272768266954","3.339093356024171","3.400107571401485","3.418949095864666","3.377781019768036","3.38501407882178","3.408979768035587","3.476635904561297","3.493581416625542","3.297592578089975","3.280253153005655","3.281666613291956","3.327982016411804",""
"IMF.STA:GFS_COFOG(11.0.0)","DEU.S13.G2MF.GF0760_T.POTO_PT.A","OBS_VALUE","Germany","General government","Expenditure by function","Health n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9325609920711775","0.9208617673962882","0.9454587547352286","0.9534375215780146","0.9493294477980315","0.9629537806059437","0.9298814908696254","0.955605174424386","0.9806053415766575","0.9684267927533413","0.9433031444499083","1.060667063920249","1.108797753353024","1.169897033273614","1.196262640812753","1.10234152746371","1.074447464060111","1.077936400335907","1.102421226244468","1.074508273241338","1.633530707653334","1.464647955746536","1.553514001564051","1.272898380666456",""
"IMF.STA:GFS_COFOG(11.0.0)","DEU.S13.G2MF.GF0460_T.POTO_PT.A","OBS_VALUE","Germany","General government","Expenditure by function","Communication, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01584590735426167","0.01396984809225458","0.01456275333122982","0.01298133357884319","0.01366008504564513","0.01276347625672034","0.01374837022631092","0.02467885844459913","0.03931467220087362","0.04721600156943329","0.05904098972432155","0.05596444043612001","0.04730785746999801","0.04821365692461876","0.04675846912772076","0.03384637829163323","0.03560000728819047","0.03075771219280229","0.03173280715202626","0.04325877823785118","0.0434700198736305","0.09082588752512876","0.09054761420208079","0.09450478405755697",""
"IMF.STA:GFS_COFOG(11.0.0)","DEU.S13.G2MF.GF0860_T.POTO_PT.A","OBS_VALUE","Germany","General government","Expenditure by function","Recreation, culture and religion n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.07668636645519227","0.07683416450740019","0.07645445498895658","0.07107510299905632","0.07517693062535312","0.07805003466339775","0.07757358564779407","0.07946050026667631","0.07967309676106247","0.06467262186799137","0.06079153119862758","0.0537902823184578","0.05000662786258179","0.04782670943726227","0.04947347701255616","0.04748705230140783","0.04646221423635882","0.05004873343653355","0.04727274151865641","0.04624214225425471","0.04295927551480194","0.04315840045520303","0.04034095076544501","0.04745010078203697",""
"IMF.STA:GFS_COFOG(11.0.0)","DEU.S13.G2MF.GF0970_T.POTO_PT.A","OBS_VALUE","Germany","General government","Expenditure by function","R&D Education, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01525902189669642","0.0147353192205973","0.01512285922858482","0.01491472368633047","0.01300960480537631","0.0137735355288349","0.01474990713021437","0.015186989812061","0.01539534729989963","0.01695785971859928","0.01734627460903248","0.01835955743803649","0.01809763675026769","0.01656135245885781","0.01455545893814533","0.01568312787220074","0.01962205126120734","0.02138200606385598","0.02259166928930265","0.02069708786379949","0.02054327309954862","0.02045192857392084","0.01807853107286268","0.01611326339056672",""
"IMF.STA:GFS_COFOG(11.0.0)","DEU.S13.G2MF.GF0640_T.POTO_PT.A","OBS_VALUE","Germany","General government","Expenditure by function","Street lighting, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.09889019959974412","0.09826735610099626","0.09643156532795134","0.09390751950652519","0.09645692705700437","0.09494557157876855","0.09432656658581532","0.092839515101111","0.08141268402658785","0.05968501606840335","0.05164097349202787","0.04742885671492761","0.04198969228461233","0.04039731768001764","0.03876427924459431","0.03114742140199869","0.03188583329946194","0.03190438128770939","0.02879458426757939","0.02486136680336275","0.020997268085174","0.01959305493302128","0.01993803712607141","0.02140197254023126",""
"IMF.STA:GFS_COFOG(11.0.0)","DEU.S13.G2MF.GF0620_T.POTO_PT.A","OBS_VALUE","Germany","General government","Expenditure by function","Community development, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5125466329403157","0.5048282091420217","0.5066157841575914","0.4957764632770962","0.5028212257277945","0.481522802088068","0.4909351805315794","0.4668191392231132","0.4586421825557668","0.4615197899885451","0.4537085221133173","0.4750938108965584","0.4598228495364068","0.4689029651785956","0.4571771610520052","0.4383981326136115","0.4323859152916047","0.4152291146028309","0.4371422713638186","0.4294801115280915","0.4117734519622231","0.3938472439550058","0.4039260371136747","0.4292751305124907",""
"IMF.STA:GFS_COFOG(11.0.0)","DEU.S13.G2MF.GF048_T.POTO_PT.A","OBS_VALUE","Germany","General government","Expenditure by function","R&D Economic affairs, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2849328896479274","0.2643745909513658","0.2831335311129491","0.2887195893847676","0.2957826578250914","0.2925498946324532","0.3204007604396565","0.3080789361875232","0.3137345633375025","0.4397405779970108","0.4482977575563714","0.5078672314109481","0.4564096987457861","0.4652656587974446","0.4442054567133472","0.4644394193595448","0.5221567998116283","0.5376529032649716","0.5495129732334425","0.5590078325736114","0.5529658924917174","0.556389080495248","0.5361575786751846","0.5432542267660087",""
"IMF.STA:GFS_COFOG(11.0.0)","DEU.S13.G2MF.GF06_T.POTO_PT.A","OBS_VALUE","Germany","General government","Expenditure by function","Housing and community amenities, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","2.020503706623208","1.783739339100953","1.66666622866207","1.76927863934471","1.351767247146981","1.486322558439214","1.655160593842945","1.840706003987889","1.858167413096385","1.940243322710707","2.004386149565404","2.09012850696305","2.141735908117937","2.1636831306313","2.059786326552163","1.972663505452003","1.813127706312545","1.600768201736456","1.362364524157469","1.19546068681699","1.111236371249577","0.9894962268808644","0.923721041817415","0.8749112908882073","0.8436793347435991","0.8218836328265705","0.8272880264138599","0.8722604336294627","0.9052023653104377","0.9628098657650326","0.8470104487346376","1.00506302175932","0.9467777921665815",""
"IMF.STA:GFS_COFOG(11.0.0)","DEU.S13.G2MF.GF1040_T.POTO_PT.A","OBS_VALUE","Germany","General government","Expenditure by function","Family and children, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.915157881969509","2.857695089885447","2.887812655779453","2.93258452827583","3.0370922418151","3.019618105771571","2.974382506974339","3.030256461250576","3.106641918138502","3.354663660802905","3.348387990012365","3.341761551221555","3.422358360195359","3.412567280494364","3.458618377737539","3.624772047559997","3.834078737685411","3.761884044774056","3.7659529179165","3.733431452860984","3.961787242059911","3.744152278296531","3.588278500287707","3.793833266277115",""
"IMF.STA:GFS_COFOG(11.0.0)","DEU.S13.G2MF.GF0840_T.POTO_PT.A","OBS_VALUE","Germany","General government","Expenditure by function","Religious and other community services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06357925790290176","0.0616204258315887","0.06226510558929675","0.06103988767924137","0.06012295935056053","0.05968532062495122","0.0594548725680863","0.05984397175943085","0.05610168931319355","0.05378301587222419","0.05347108503334782","0.05073035607878505","0.04976850106323616","0.04790409893473357","0.04811597307013846","0.0474141075206069","0.046952765517889","0.05072324466883185","0.04714215383490321","0.04605568200322949","0.0426187792755829","0.04492982733955838","0.04080582727874719","0.04745010078203697",""
"IMF.STA:GFS_COFOG(11.0.0)","DEU.S13.G2MF.GF0550_T.POTO_PT.A","OBS_VALUE","Germany","General government","Expenditure by function","R&D Environmental protection, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05506941876820568","0.05712328295257524","0.0579709603762418","0.05781757083342924","0.05742811264087543","0.0576652020807221","0.06109375113811012","0.05848799052621112","0.05931992575441551","0.06824707269102946","0.07049907937432465","0.0761760584929058","0.07445431259539955","0.07793122395359726","0.07277729469072666","0.07630024071777664","0.08472521419571314","0.08997979838859267","0.09291313699039789","0.09117906275133288","0.0957361925937528","0.09393930447338968","0.08491744309653212","0.08036860819957512",""
"IMF.STA:GFS_COFOG(11.0.0)","DEU.S13.G2MF.GF0160_T.POTO_PT.A","OBS_VALUE","Germany","General government","Expenditure by function","General public services n.e.c., Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1549377607972252","0.1911764143035935","0.2459798399217345","0.2552074941883214","0.2106626720984864","0.175658489777741","0.184191741508788","0.1946285063414722","0.2237109223465641","0.2560304310455186","0.2651274632903496","0.2732192034528852","0.2507475197109458","0.2495811293449366","0.2544565723176288","0.2557444014880735","0.2536850913056092","0.2631268317195652","0.2717529698903978","0.2872730934128566","0.2782989261883602","0.2755910795236472","0.2821800435744252","0.3277516857142575",""
"IMF.STA:GFS_COFOG(11.0.0)","DEU.S13.G2MF.GF072_T.POTO_PT.A","OBS_VALUE","Germany","General government","Expenditure by function","Outpatient services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.810647275971149","3.846205368249023","3.992994942243747","4.059658894745322","3.922488774569568","3.913612385163148","4.011337397752187","4.123267733974562","4.143696866481459","4.188092589914064","4.092368116592428","4.25651844813425","4.286172056137599","4.544031141533782","4.62142457972055","4.711205777226639","4.72534033747125","4.732235903558384","4.784210381982034","4.804956362085918","4.580298660601294","4.551439821139564","4.55589313625324","4.557681034491281",""
