"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SECTOR","GFS_GRP","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:GFS_COFOG(11.0.0)","CHN.S13.G2MF.GF072_T.XDC.A","OBS_VALUE","China, People's Republic of","General government","Expenditure by function","Outpatient services, Transactions","Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.04685","4.43","","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"IMF.STA:GFS_COFOG(11.0.0)","CHN.S13.G2MF.GF0620_T.XDC.A","OBS_VALUE","China, People's Republic of","General government","Expenditure by function","Community development, Transactions","Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","CHN.S13.G2MF.GF0970_T.XDC.A","OBS_VALUE","China, People's Republic of","General government","Expenditure by function","R&D Education, Transactions","Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.00323","19.77638","22.69015875858","24.74301779335","26.93733","28.07383","28.19154","27.68002","27.38748","29.35049","27.74113"
"IMF.STA:GFS_COFOG(11.0.0)","CHN.S13.G2MF.GF0550_T.XDC.A","OBS_VALUE","China, People's Republic of","General government","Expenditure by function","R&D Environmental protection, Transactions","Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","CHN.S13.G2MF.GF0520_T.XDC.A","OBS_VALUE","China, People's Republic of","General government","Expenditure by function","Waste water management, Transactions","Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","CHN.S13.G2MF.GF075_T.POGDP_PT.A","OBS_VALUE","China, People's Republic of","General government","Expenditure by function","R&D Health, Transactions","Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0",""
"IMF.STA:GFS_COFOG(11.0.0)","CHN.S13.G2MF.GF08_T.POGDP_PT.A","OBS_VALUE","China, People's Republic of","General government","Expenditure by function","Recreation, culture and religion, Transactions","Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3375848834787197","0.3327451062918656","0.3487645732044236","0.4627538891219397","0.5072837112206704","0.4823556075707803","0.4336066202668613","0.444404945400174","0.4522176163280095","0.4422382829712645","0.4565885954645266","0.4326502623126157","0.4175004599612698","0.394836321188438","0.4152439425846778","0.4150271816640868","0.3492294440843624","0.3266656659495323","0.3160831650741665",""
"IMF.STA:GFS_COFOG(11.0.0)","CHN.S13.G2MF.GF01_T.POTO_PT.A","OBS_VALUE","China, People's Republic of","General government","Expenditure by function","General public services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7443550005143","18.20321989539723","9.444665393104827","11.26264530249703","10.26820724861191","9.936978279243331","9.970109415274163","9.75353312881827","9.470990899344041","9.194536558659312","8.565875371770699","8.931027202659606","9.582101228626855","9.285137137868615","9.82750523130105","9.109943220002296","9.316062225601121","9.10967592130245","8.947596184127484","8.745423528677342"
"IMF.STA:GFS_COFOG(11.0.0)","CHN.S13.G2MF.GF0230_T.XDC.A","OBS_VALUE","China, People's Republic of","General government","Expenditure by function","Foreign military aid, Transactions","Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMF.STA:GFS_COFOG(11.0.0)","CHN.S13.G2MF.GF072_T.POGDP_PT.A","OBS_VALUE","China, People's Republic of","General government","Expenditure by function","Outpatient services, Transactions","Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02156508031456585","0.02017326975329088","","0","0","0","","0","0","0","0","0","0","0","0","0","0","0","0",""
"IMF.STA:GFS_COFOG(11.0.0)","CHN.S13.G2MF.GF07_T.XDC.A","OBS_VALUE","China, People's Republic of","General government","Expenditure by function","Health, Transactions","Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119.42908","144.46","207.0935","309.681","425.56672","510.39545","436.55","472.398","525.72915","585.9426605","1925.012","2286.80174647857","2627.2614605755","2607.93735","2992.63263","3416.40164","3545.8497","4015.7373","4314.26347","4249.67863"
"IMF.STA:GFS_COFOG(11.0.0)","CHN.S13.G2MF.GF06_T.POTO_PT.A","OBS_VALUE","China, People's Republic of","General government","Expenditure by function","Housing and community amenities, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.426407752187975","0.4361927262254094","11.36126915828656","7.297933168574638","6.421869548357244","6.49310367355225","6.694088774468722","6.745785154303993","7.429134311810589","7.838751117240363","8.245932485521542","8.563209628224156","9.007534782743069","8.584156049096886","8.728223200216219","6.497654865256853","6.15626995642965","5.52515094044038","5.451551019228895","5.560950181607725"
"IMF.STA:GFS_COFOG(11.0.0)","CHN.S13.G2MF.GF073_T.XDC.A","OBS_VALUE","China, People's Republic of","General government","Expenditure by function","Hospital services, Transactions","Domestic currency","Annual","Billions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","48.13","259.04921","164.5303","205.733","211.512","236.25725","268.51784","327.64879","376.68295685858","407.93102699673","433.32639","474.9978","672.70299","620.67434","915.81935","817.18668","589.51237"
