"incident_id","incident_date","incident_time","updated_date","state","city_or_county","address","business_location_name","latitude","longitude","killed","injured","victims_killed","victims_injured","suspects_killed","suspects_injured","suspects_arrested","incident_characteristics","sources","date_fixed","year"
1859390,"November 22, 2020","11:15 PM",1642391101,"New York","Brooklyn","15 Albany Ave","N/A",40.6803,-73.9381,1,6,1,6,0,0,2,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, or suicide), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), House party / Block Party / Park Party / Private Parties at event spaces / Weddings and Funerals, ETC","c(""https://abc7ny.com/brooklyn-shooting-in-multiple/8188012/"", ""https://www.nbcnewyork.com/news/local/at-least-7-people-shot-at-gathering-in-brooklyn-police/2740328/"", ""https://www.nytimes.com/2020/11/23/nyregion/shooting-brooklyn.html"", ""https://twitter.com/NYPDDetectives/status/1331737280193712131"", ""https://pix11.com/news/local-news/brooklyn/teen-arrested-in-brooklyn-shooting-that-left-woman-dead-6-teens-injured/"", ""https://nypost.com/2021/08/26/nyc-17-year-old-charged-with-murder-at-sweet-sixteen-party-shooting/"", 
""https://www.nydailynews.com/new-york/ny-brooklyn-teen-iquan-warlick-four-gang-killings-20220116-42zobr47hjdztgfd6x3of37qsm-story.html"")","2020-11-22",2020
2174685,"November 22, 2021","N/A",1637815501,"North Carolina","Warsaw","101 Matthews St","Tanglewood Apartments",35.0057,-78.0991,2,2,2,2,0,0,0,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, or suicide), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","https://www.witn.com/2021/11/24/one-victim-released-another-wilmington-hospital-following-deadly-warsaw-shooting/","2021-11-22",2021
2465761,"November 22, 2022","10:12 PM",1750112323,"Virginia","Chesapeake","1521 Sam's Circle","Walmart",36.7737,-76.2483,7,6,6,6,1,0,0,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, or suicide), Suicide^, Murder/Suicide, Mass Murder (4+ deceased victims excluding the subject/suspect/perpetrator , one location), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), Workplace shooting (disgruntled current or former employee), Big Box Store [Walmart, Target, Best Buy, Sams, Costco, ETC], Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)
","c(""https://www.13newsnow.com/article/news/crime/walmart-shooting-chesapeake-virginia/291-c26adb56-9218-47d5-861b-770b5bca1b94"", ""https://www.wavy.com/news/local-news/chesapeake/police-respond-to-shooting-at-chesapeake-walmart/"", ""https://www.nbc12.com/2022/11/23/report-multiple-fatalities-shooting-virginia-walmart/"", ""https://www.wtkr.com/news/chesapeake-walmart-shooting-victims-identified"", ""https://www.nbc12.com/2022/11/24/montgomery-native-among-employees-shot-virginia-walmart/"", ""https://www.cbsnews.com/live-updates/chesapeake-virginia-walmart-shooting/"", 
""https://www.wtkr.com/news/he-never-made-it-home-man-shot-during-walmart-shooting-remains-on-a-ventilator"", ""https://www.wavy.com/chesapeake-walmart-mass-shooting/walmart-shooting-survivor-leaves-hospital-after-2-weeks-in-trauma-unit/"", ""https://www.13newsnow.com/article/news/local/mycity/chesapeake/chesapeake-walmart-mass-shooting-lawsuit-settlements/291-0a397e64-72cd-45c3-9464-1e22872fbb72"")","2022-11-22",2022
2465213,"November 22, 2022","6:30 AM",1669223348,"Florida","West Palm Beach","600 block of Snead Cir","N/A",26.6871,-80.1289,2,2,2,2,0,0,1,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, or suicide), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","c(""https://cbs12.com/news/local/dead-injured-shooting-lake-belvedere-estates-west-palm-beach-florida#"", ""https://www.wptv.com/news/palm-beach-county/region-c-palm-beach-county/2-people-shot-1-killed-near-west-palm-beach-sheriffs-office-says"", ""https://www.palmbeachpost.com/story/news/crime/2022/11/22/shooting-near-palm-beach-airport-leaves-one-dead-one-injured-in-lake-belvedere-estates/10755160002/"")","2022-11-22",2022
2762681,"November 22, 2023","12:00 PM",1700724542,"Mississippi","Goodman","7213 US-51","N/A",32.9708,-89.9117,1,3,1,3,0,0,0,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, or suicide), Drive-by (car to street, car to car), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)","https://www.wapt.com/article/one-person-killed-three-others-injured-in-a-drive-by-shooting-in-goodman/45922855","2023-11-22",2023
2762803,"November 22, 2023","11:44 PM",1701210792,"North Carolina","Lumberton","111 W 3rd St","Adelio's Restaurant and Bar",34.6188,-79.0081,0,6,0,6,0,0,1,"Shot - Wounded/Injured, Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), Bar/club incident - in or around establishment","c(""https://myfox8.com/news/north-carolina/6-hurt-in-shooting-at-adelios-restaurant-and-bar-in-lumberton-north-carolina/"", ""https://www.wral.com/story/six-people-hospitalized-after-shots-fired-through-wall-of-lumberton-bar/21164648/"", ""https://wpde.com/news/local/adelios-restaurant-bar-shooting-cameron-dion-smith-charged-attempted-murder-robeson-county-detention-center-north-carolina#"")","2023-11-22",2023
224362,"November 23, 2014","1:55 AM",1563585575,"Virginia","Parksley","Parksley Road","N/A",37.7683,-75.6361,0,4,0,4,0,0,0,"Shot - Wounded/Injured, Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), House party / Block Party / Park Party / Private Parties at event spaces / Weddings and Funerals, ETC, Possession of gun by felon or prohibited person","http://wtkr.com/2014/11/24/man-accused-of-shooting-four-people-inside-accomack-co-home/","2014-11-23",2014
224131,"November 23, 2014","N/A",1429881134,"Colorado","Denver","Federal Boulevard and 16th Avenue","N/A",39.7427,-105.025,1,4,1,4,0,0,0,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, or suicide), Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), Bar/club incident - in or around establishment","c(""http://denver.cbslocal.com/2014/11/23/1-dead-2-hurt-in-denver-bar-shooting/"", ""http://denver.cbslocal.com/2014/11/24/man-killed-in-shooting-at-denver-bar-identified/"")","2014-11-23",2014
452007,"November 23, 2015","5:00 PM",1638139330,"Ohio","Columbus","90 block of S Terrace Ave","N/A",39.9534,-83.0664,4,1,3,1,1,0,0,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, or suicide), Child Involved Incident, Child killed (not child shooter), Child injured (not child shooter), Home Invasion, Home Invasion - Resident killed, Home Invasion - Resident injured, Home Invasion - subject/suspect/perpetrator killed, Officer Involved Incident, Officer Involved Shooting - subject/suspect/perpetrator killed, Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
","https://www.10tv.com/article/news/crime/crime-tracker/7-year-old-parents-killed-west-columbus-shooting/530-0c8eb51e-ae7a-43c6-9baa-3243fabb1580","2015-11-23",2015
452120,"November 23, 2015","N/A",1747420201,"Minnesota","Minneapolis","Morgan Ave N","N/A",44.9885,-93.3045,0,5,0,5,0,0,4,"Shot - Wounded/Injured, Officer Involved Incident, Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location), Hate crime","c(""http://www.startribune.com/several-people-were-shot-near-black-lives-matter-protest-site/353121881/"", ""http://www.startribune.com/police-searching-for-suspects-who-fired-into-crowd-at-blm-protest-outside-4th-precinct/353154811/"", ""http://www.startribune.com/latest-police-say-5-shot-near-minneapolis-protest-site/353127901/"", ""http://kstp.com/news/stories/s3974371.shtml?cat=1"")","2015-11-23",2015
