"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","SECTOR","GFS_GRP","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:GFS_COFOG(11.0.0)","POL.S13.G2MF.GF06_T.POTO_PT.A","OBS_VALUE","Poland, Republic of","General government","Expenditure by function","Housing and community amenities, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","3.703793420861392","3.623171996503639","3.286625655046708","3.122740122279929","3.43483123394679","3.180096846287559","2.645898187275835","2.925973735954291","2.711452120020185","2.498470978179379","2.664493991480466","2.180374734158363","1.814327356240615","1.828968708891789","2.092296133899181","1.703707723897135","1.903476979304488","1.869687252833227","1.73091297534756","1.688777825619143","1.695602435472541","1.457583946139312","1.354596647575826","1.424154600838503","1.29696481547739","1.003628268540459","1.054258275116557","1.14005399135936",""
"IMF.STA:GFS_COFOG(11.0.0)","POL.S13.G2MF.GF02_T.POTO_PT.A","OBS_VALUE","Poland, Republic of","General government","Expenditure by function","Defence, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","4.962211133181532","4.626337743035584","4.827409432672591","4.887910065084478","3.244330288282311","3.207102061087658","3.660259025814128","3.634046307946208","3.599052880820837","3.662007260387484","3.498143983093301","3.651207357528867","4.488413862144098","4.34225981358114","3.373321524160499","3.5687257092375","3.586391190241909","3.419003537786357","3.879929746128054","3.468049386083472","3.721269671844282","3.835852564458824","4.105405776251928","3.941960036407299","3.891608191083885","3.599761602843175","3.572967761376713","3.689188251564685",""
"IMF.STA:GFS_COFOG(11.0.0)","POL.S13.G2MF.GF03_T.POTO_PT.A","OBS_VALUE","Poland, Republic of","General government","Expenditure by function","Public order and safety, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","4.234896565088901","4.690196149473961","5.45275526478534","5.80573999810079","3.916726803859269","4.113794387881798","4.433798331939954","4.376977837328497","4.818662905792695","4.675107524760289","4.874141171396001","4.99435185126752","5.280255964824466","5.324014151350419","5.302145890780264","5.257206950512424","5.190760709684618","5.239435895825184","5.227357185549632","5.26879659133084","5.313471235799949","5.298293515846688","5.166024572544104","5.071735202693081","5.001030338405122","4.836119687289037","4.955712400416694","5.270545296421308",""
"IMF.STA:GFS_COFOG(11.0.0)","POL.S13.G2MF.GF10_T.POTO_PT.A","OBS_VALUE","Poland, Republic of","General government","Expenditure by function","Social protection, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","39.72615183372899","36.28923782048089","38.87885297659734","38.60912059255363","41.95706375454449","41.06841321082692","41.38135687525502","40.9353094004804","41.3929897654198","40.45668429152034","38.62683276677176","37.83649608626417","36.35760484448763","35.10947221239","35.79328982074129","35.5594149412499","35.21222282926094","36.29200585919096","37.51842185952334","37.55724350590721","37.686811329746","40.42555506895135","39.80187891204674","38.9597869441635","39.91384580310632","37.46034501622445","39.20664887995455","38.41446757463617",""
"IMF.STA:GFS_COFOG(11.0.0)","POL.S13.G2MF.GF08_T.POTO_PT.A","OBS_VALUE","Poland, Republic of","General government","Expenditure by function","Recreation, culture and religion, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","1.243277941960176","1.38858066766002","1.723057644110276","1.707463166275868","2.195036031013691","1.889123416935684","2.005038990832232","2.389200259263496","2.109539767360617","2.247440121532573","2.503186552236064","2.729082391449313","2.73485852250979","2.980923148446539","2.928194508086963","3.050256438088519","2.94846917555608","2.807414789032006","2.657975835041874","2.866638412648726","2.700689814304744","2.580151630886671","2.918582531336833","3.214002394060964","3.272752969052533","2.656804559549549","2.655706226418319","2.571463753142628",""
"IMF.STA:GFS_COFOG(11.0.0)","POL.S13.G2MF.GF01_T.POTO_PT.A","OBS_VALUE","Poland, Republic of","General government","Expenditure by function","General public services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","21.30347366891139","17.66839824095","17.32944373921818","16.20245582509733","14.09570192929234","13.98342438539856","13.98391289336799","13.35016367369837","13.51663281017506","14.36811940180721","13.21148550960302","12.76713008832989","12.66181825319711","12.04344020807909","12.34263656514988","12.29078662119828","12.67192519994841","13.35078907769139","13.39359265471183","11.89586124621813","11.75477866831295","11.37152512377315","10.70635627525587","10.50503254179495","10.10623191742534","9.111232914412335","9.389644795470638","10.03573171876177",""
"IMF.STA:GFS_COFOG(11.0.0)","POL.S13.G2MF.GF09_T.POTO_PT.A","OBS_VALUE","Poland, Republic of","General government","Expenditure by function","Education, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","12.37282592897631","12.02123178789951","12.56021547374931","12.09504817420142","13.15756172470048","13.12453439284827","13.41952309347242","13.58518930047877","13.36188492243197","13.00038472161938","13.73902108658864","13.36202634961304","13.2720902158231","12.76069319780721","12.02123060432417","12.08153555308314","12.31050368594876","12.48447400055394","12.33808898729581","12.3902272999375","12.65546733690166","12.07192159900326","11.86874179172913","12.0274191380398","11.98780577697408","10.60445223181694","11.16851741095555","10.53618401575612",""
"IMF.STA:GFS_COFOG(11.0.0)","POL.S13.G2MF.GF07_T.POTO_PT.A","OBS_VALUE","Poland, Republic of","General government","Expenditure by function","Health, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","4.124679036868369","5.320628076865594","6.561452332129024","7.337160972687894","8.736366527923608","8.963868885026074","9.494189181863057","9.785018273719069","9.488788541410587","9.711508108747978","9.954366974424281","10.40163912010888","10.45353276604933","11.23320671784116","11.11546488902994","10.83944653997027","10.60251893695122","10.72200537378041","10.85275370592","10.93346044466429","11.20148708611508","11.25288247367391","11.34597512033559","11.56616591861575","11.67559884011068","11.11660624872214","13.05756956550299","12.04502219288557",""
"IMF.STA:GFS_COFOG(11.0.0)","POL.S13.G2MF.GF05_T.POTO_PT.A","OBS_VALUE","Poland, Republic of","General government","Expenditure by function","Environmental protection, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","1.198464221694685","1.771278209790717","1.162402760147121","1.188102177517732","1.353001330428507","1.250931214303452","1.359043790142867","1.385643556267259","1.346410133657666","1.287091109971195","1.46746863941922","1.472936216939398","1.40859170273533","1.481876726875063","1.559426100107027","1.607826110553309","1.564517508075467","1.367144558119348","1.460056886984806","1.45758229934762","1.441786368457212","1.015755735995915","0.9413732117246005","1.180607237090425","1.252015598200662","1.163179165464544","1.279025258824605","1.432904682272919",""
"IMF.STA:GFS_COFOG(11.0.0)","POL.S13.G2MF.GF0820_T.POTO_PT.A","OBS_VALUE","Poland, Republic of","General government","Expenditure by function","Cultural services, Transactions","Percent of total outlays","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.329654432514331","1.644634716253534","1.399459158720095","1.439253442765261","1.607140615674984","1.77122578500853","1.771339398757471","1.879157047235151","1.641194367218859","1.486617278590359","1.461771776950466","1.480787735673964","1.473890060885747","1.588553581650819","1.516967987761621","1.504204277528557","1.673761812027902","1.873556988166788","1.743464269441862","1.395820318339292","1.290957805733223","1.254881411106321",""
